Date,In the right direction,On the wrong track,Difficult to answer,Net
1996-07-01,32,45,23,-13
1996-08-01,32,45,23,-13
1996-09-01,21,58,22,-37
1996-10-01,21,58,22,-37
1996-11-01,16,60,24,-44
1996-12-01,16,60,24,-44
1997-01-01,22,63,16,-41
1997-02-01,14,69,17,-55
1997-03-01,14,68,18,-54
1997-04-01,17,66,17,-49
1997-05-01,19,62,19,-43
1997-06-01,19,67,14,-48
1997-07-01,19,67,14,-48
1997-08-01,22,58,19,-36
1997-09-01,24,59,18,-35
1997-10-01,21,59,20,-38
1997-11-01,22,56,22,-34
1997-12-01,19,60,22,-41
1998-01-01,19,59,22,-40
1998-02-01,20,59,21,-39
1998-03-01,20,61,20,-41
1998-04-01,17,65,18,-48
1998-05-01,15,67,18,-52
1998-06-01,12,73,14,-61
1998-07-01,10,72,18,-62
1998-08-01,10,75,15,-65
1998-09-01,10,75,15,-65
1998-10-01,5,77,17,-72
1998-11-01,7,78,15,-71
1998-12-01,8,76,16,-68
1999-01-01,7,78,15,-71
1999-02-01,6,80,14,-74
1999-03-01,10,78,12,-68
1999-04-01,10,75,16,-65
1999-05-01,10,70,20,-60
1999-06-01,8,77,16,-69
1999-07-01,12,76,13,-64
1999-08-01,8,82,10,-74
1999-09-01,10,76,14,-66
1999-10-01,23,63,14,-40
1999-11-01,20,65,14,-45
1999-12-01,31,51,19,-20
2000-01-01,31,49,20,-18
2000-02-01,28,52,20,-24
2000-03-01,27,52,21,-25
2000-04-01,32,49,20,-17
2000-05-01,34,43,23,-9
2000-06-01,34,43,23,-9
2000-07-01,35,45,20,-10
2000-08-01,29,53,19,-24
2000-09-01,29,51,19,-22
2000-10-01,28,52,20,-24
2000-11-01,32,52,16,-20
2000-12-01,30,51,19,-21
2001-01-01,35,45,20,-10
2001-02-01,35,46,19,-11
2001-03-01,40,43,17,-3
2001-04-01,34,48,18,-14
2001-05-01,34,46,20,-12
2001-06-01,41,41,18,0
2001-07-01,37,42,21,-5
2001-08-01,37,42,21,-5
2001-09-01,40,40,20,0
2001-10-01,41,39,20,2
2001-11-01,44,39,17,5
2001-12-01,42,41,17,1
2002-01-01,40,42,18,-2
2002-02-01,38,43,18,-5
2002-03-01,41,43,16,-2
2002-04-01,38,43,18,-5
2002-05-01,37,47,16,-10
2002-06-01,44,44,13,0
2002-07-01,40,40,20,0
2002-08-01,37,47,16,-10
2002-09-01,43,42,15,1
2002-10-01,44,37,19,7
2002-11-01,44,37,19,7
2002-12-01,40,43,17,-3
2003-01-01,40,47,13,-7
2003-02-01,36,50,14,-14
2003-03-01,35,50,15,-15
2003-04-01,31,56,13,-25
2003-05-01,36,48,16,-12
2003-06-01,36,48,16,-12
2003-07-01,39,47,14,-8
2003-08-01,36,49,15,-13
2003-09-01,38,47,15,-9
2003-10-01,34,50,16,-16
2003-11-01,40,46,14,-6
2003-12-01,51,35,14,16
2004-01-01,50,37,13,13
2004-02-01,54,37,10,17
2004-03-01,54,33,13,21
2004-04-01,47,40,13,7
2004-05-01,48,40,12,8
2004-06-01,41,44,14,-3
2004-07-01,41,46,13,-5
2004-08-01,38,50,12,-12
2004-09-01,37,51,12,-14
2004-10-01,39,50,11,-11
2004-11-01,38,51,11,-13
2004-12-01,36,51,13,-15
2005-01-01,31,56,13,-25
2005-02-01,31,58,11,-27
2005-03-01,35,52,14,-17
2005-04-01,34,55,12,-21
2005-05-01,37,51,12,-14
2005-06-01,34,52,14,-18
2005-07-01,32,51,17,-19
2005-08-01,34,52,14,-18
2005-09-01,36,48,16,-12
2005-10-01,34,48,19,-14
2005-11-01,38,45,16,-7
2005-12-01,38,46,16,-8
2006-01-01,34,48,18,-14
2006-02-01,41,44,16,-3
2006-03-01,35,49,17,-14
2006-04-01,34,47,19,-13
2006-05-01,43,38,19,5
2006-06-01,41,42,17,-1
2006-07-01,44,39,17,5
2006-08-01,43,42,15,1
2006-09-01,41,43,17,-2
2006-10-01,38,44,18,-6
2006-11-01,43,37,20,6
2006-12-01,43,35,21,8
2007-01-01,46,37,17,9
2007-02-01,48,36,17,12
2007-03-01,45,39,17,6
2007-04-01,43,39,18,4
2007-05-01,49,34,17,15
2007-06-01,50,35,15,15
2007-07-01,50,31,20,19
2007-08-01,47,34,19,13
2007-09-01,48,34,18,14
2007-10-01,51,33,17,18
2007-11-01,55,32,13,23
2007-12-01,64,20,16,44
2008-01-01,61,23,16,38
2008-02-01,61,24,15,37
2008-03-01,60,24,16,36
2008-04-01,55,29,16,26
2008-05-01,59,27,14,32
2008-06-01,57,25,18,32
2008-07-01,55,31,14,24
2008-08-01,55,29,16,26
2008-09-01,61,24,15,37
2008-10-01,54,27,19,27
2008-11-01,49,30,22,19
2008-12-01,43,40,18,3
2009-01-01,42,39,19,3
2009-02-01,41,40,19,1
2009-03-01,41,39,20,2
2009-04-01,43,36,21,7
2009-05-01,42,39,19,3
2009-06-01,44,40,15,4
2009-07-01,48,35,17,13
2009-08-01,44,36,20,8
2009-09-01,49,33,18,16
2009-10-01,49,34,17,15
2009-11-01,43,35,22,8
2009-12-01,50,31,19,19
2010-01-01,46,32,22,14
2010-02-01,48,35,17,13
2010-03-01,48,34,18,14
2010-04-01,47,34,19,13
2010-05-01,47,34,19,13
2010-06-01,47,35,18,12
2010-07-01,50,29,21,21
2010-08-01,48,32,20,16
2010-09-01,49,32,18,17
2010-10-01,51,31,18,20
2010-11-01,47,34,19,13
2010-12-01,46,36,17,10
2011-01-01,46,38,17,8
2011-02-01,42,42,16,0
2011-03-01,40,42,18,-2
2011-04-01,43,40,18,3
2011-05-01,44,39,17,5
2011-06-01,41,39,20,2
2011-07-01,40,43,17,-3
2011-08-01,36,44,20,-8
2011-09-01,42,40,18,2
2011-10-01,43,38,19,5
2011-11-01,41,40,19,1
2011-12-01,38,41,21,-3
2012-01-01,41,39,21,2
2012-02-01,46,35,19,11
2012-03-01,50,34,16,16
2012-04-01,46,36,18,10
2012-05-01,49,33,18,16
2012-06-01,44,38,18,6
2012-07-01,44,38,18,6
2012-08-01,41,41,18,0
2012-09-01,42,39,19,3
2012-10-01,43,39,18,4
2012-11-01,40,44,16,-4
2012-12-01,41,41,18,0
2013-01-01,42,41,17,1
2013-02-01,41,42,17,-1
2013-03-01,41,43,16,-2
2013-04-01,41,41,18,0
2013-05-01,40,40,20,0
2013-06-01,41,43,16,-2
2013-07-01,40,41,18,-1
2013-08-01,40,43,17,-3
2013-09-01,40,43,17,-3
2013-10-01,40,43,18,-3
2013-11-01,40,41,19,-1
2013-12-01,41,39,20,2
2014-01-01,43,41,17,2
2014-02-01,47,37,16,10
2014-03-01,60,26,15,34
2014-04-01,58,26,16,32
2014-05-01,60,23,17,37
2014-06-01,62,22,17,40
2014-07-01,55,26,19,29
2014-08-01,64,22,14,42
2014-09-01,62,22,17,40
2014-10-01,60,23,17,37
2014-11-01,59,22,19,37
2014-12-01,56,27,18,29
2015-01-01,55,27,18,28
2015-02-01,54,29,17,25
2015-03-01,57,25,19,32
2015-04-01,60,23,18,37
2015-05-01,60,23,17,37
2015-06-01,64,22,14,42
2015-07-01,59,23,18,36
2015-08-01,55,29,17,26
2015-09-01,55,26,19,29
2015-10-01,61,25,14,36
2015-11-01,55,27,18,28
2015-12-01,56,27,16,29
2016-01-01,45,34,21,11
2016-02-01,51,34,15,17
2016-03-01,51,30,19,21
2016-04-01,50,32,19,18
2016-05-01,49,33,18,16
2016-06-01,50,33,18,17
2016-07-01,46,37,17,9
2016-08-01,51,33,17,18
2016-09-01,50,32,19,18
2016-10-01,55,30,16,25
2016-11-01,56,26,18,30
2016-12-01,53,31,16,22
2017-01-01,54,30,16,24
2017-02-01,53,31,16,22
2017-03-01,52,33,16,19
2017-04-01,51,32,17,19
2017-05-01,56,28,16,28
2017-06-01,55,30,15,25
2017-07-01,55,29,17,26
2017-08-01,57,29,13,28
2017-09-01,54,28,18,26
2017-10-01,57,27,16,30
2017-11-01,56,29,16,27
2017-12-01,58,28,14,30
2018-01-01,55,28,17,27
2018-02-01,54,30,16,24
2018-03-01,58,27,16,31
2018-04-01,60,26,14,34
2018-05-01,56,27,16,29
2018-06-01,46,42,12,4
2018-07-01,48,40,12,8
2018-08-01,45,43,12,2
2018-09-01,47,41,12,6
2018-10-01,49,40,12,9
2018-11-01,47,42,11,5
2018-12-01,45,44,11,1
2019-01-01,42,45,13,-3
2019-02-01,45,46,9,-1
2019-03-01,48,44,9,4
2019-04-01,49,43,9,6
2019-05-01,49,40,11,9
2019-06-01,48,41,10,7
2019-07-01,50,41,9,9
2019-08-01,49,42,10,7
2019-09-01,49,41,10,8
2019-10-01,52,38,10,14
2019-11-01,48,42,11,6
2019-12-01,49,43,8,6
2020-01-01,52,39,10,13
2020-02-01,53,38,10,15
2020-03-01,48,42,10,6
2020-04-01,42,42,17,0
2020-05-01,43,42,15,1
2020-06-01,43,41,16,2
2020-07-01,42,40,18,2
2020-08-01,51,42,7,9
2020-09-01,50,40,10,10
2020-10-01,49,43,8,6
2020-11-01,48,43,9,5
2020-12-01,48,43,9,5
2021-01-01,49,40,10,9
2021-02-01,49,43,8,6
2021-03-01,48,42,10,6
2021-04-01,49,41,9,8
2021-05-01,51,40,10,11
2021-06-01,49,43,8,6
2021-07-01,47,44,9,3
2021-08-01,48,44,9,4
2021-09-01,46,45,9,1
2021-10-01,48,43,9,5
2021-11-01,46,44,10,2
2021-12-01,48,44,8,4
2022-01-01,50,39,11,11
2022-02-01,52,38,10,14
2022-03-01,69,22,9,47
2022-04-01,66,24,10,42
2022-05-01,68,22,10,46
2022-06-01,68,22,9,46
2022-07-01,68,22,10,46
2022-08-01,67,24,9,43
2022-09-01,60,27,12,33
2022-10-01,64,24,12,40
2022-11-01,61,27,12,34
2022-12-01,63,24,13,39
2023-01-01,66,24,10,42
2023-02-01,68,21,11,47
2023-03-01,66,23,11,43
2023-04-01,68,21,11,47
2023-05-01,67,23,10,44
2023-06-01,61,23,16,38
2023-07-01,66,23,12,43
2023-08-01,62,24,13,38
2023-09-01,62,26,12,36
2023-10-01,64,21,15,43
2023-11-01,67,21,12,46
2023-12-01,69,21,11,48
2024-01-01,71,18,11,53
2024-02-01,75,15,11,60
2024-03-01,73,16,12,57
2024-04-01,71,17,12,54
2024-05-01,71,17,13,54
2024-06-01,75,17,9,58
2024-07-01,72,17,12,55
2024-08-01,67,20,20,47